(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(73514, -97, 4);[100, 10, 200, 100];410;קירק;19428;(1, 47, 26, 4, 19428);לחק;3;(1, 47, 26, 14, 73514);וישם אתה יוסף לחק עד היום הזה על אדמת מצרים לפרעה לחמש רק אדמת הכהנים לבדם לא היתה לפרעה
(284002, -96, 4);[100, 10, 200, 100];410;קירק;74547;(5, 22, 2, 3, 74547);קרוב;1;(5, 22, 2, 6, 284002);ואם לא קרוב אחיך אליך ולא ידעתו ואספתו אל תוך ביתך והיה עמך עד דרש אחיך אתו והשבתו לו
(46859, -95, 4);[100, 10, 200, 100];410;קירק;12490;(1, 32, 8, 14, 12490);הבקר;3;(1, 32, 8, 46, 46859);ויירא יעקב מאד ויצר לו ויחץ את העם אשר אתו ואת הצאן ואת הבקר והגמלים לשני מחנות
(51920, -89, 4);[100, 10, 200, 100];410;קירק;13835;(1, 35, 22, 17, 13835);יעקב;3;(1, 35, 22, 71, 51920);ויהי בשכן ישראל בארץ ההוא וילך ראובן וישכב את בלהה פילגש אביו וישמע ישראל ויהיו בני יעקב שנים עשר
(47454, -88, 4);[100, 10, 200, 100];410;קירק;12638;(1, 32, 19, 3, 12638);ליעקב;4;(1, 32, 19, 14, 47454);ואמרת לעבדך ליעקב מנחה הוא שלוחה לאדני לעשו והנה גם הוא אחרינו
(274282, -87, 4);[100, 10, 200, 100];410;קירק;71935;(5, 14, 9, 11, 71935);וקשקשת;4;(5, 14, 9, 35, 274282);את זה תאכלו מכל אשר במים כל אשר לו סנפיר וקשקשת תאכלו
(159887, -86, 4);[100, 10, 200, 100];410;קירק;42213;(3, 13, 34, 14, 42213);עמק;3;(3, 13, 34, 55, 159887);וראה הכהן את הנתק ביום השביעי והנה לא פשה הנתק בעור ומראהו איננו עמק מן העור וטהר אתו הכהן וכבס בגדיו וטהר
(112873, -84, 4);[100, 10, 200, 100];410;קירק;29880;(2, 24, 8, 1, 29880);ויקח;3;(2, 24, 8, 3, 112873);ויקח משה את הדם ויזרק על העם ויאמר הנה דם הברית אשר כרת יהוה עמכם על כל הדברים האלה
(291855, -84, 4);[100, 10, 200, 100];410;קירק;76632;(5, 28, 9, 1, 76632);יקימך;2;(5, 28, 9, 2, 291855);יקימך יהוה לו לעם קדוש כאשר נשבע לך כי תשמר את מצות יהוה אלהיך והלכת בדרכיו
(28441, -79, 4);[100, 10, 200, 100];410;קירק;7589;(1, 23, 3, 1, 7589);ויקם;3;(1, 23, 3, 3, 28441);ויקם אברהם מעל פני מתו וידבר אל בני חת לאמר
(156983, -71, 4);[100, 10, 200, 100];410;קירק;41429;(3, 11, 36, 4, 41429);מקוה;2;(3, 11, 36, 12, 156983);אך מעין ובור מקוה מים יהיה טהור ונגע בנבלתם יטמא
(253288, -70, 4);[100, 10, 200, 100];410;קירק;66545;(5, 2, 14, 21, 66545);מקרב;2;(5, 2, 14, 75, 253288);והימים אשר הלכנו מקדש ברנע עד אשר עברנו את נחל זרד שלשים ושמנה שנה עד תם כל הדור אנשי המלחמה מקרב המחנה כאשר נשבע יהוה להם
(106706, -68, 4);[100, 10, 200, 100];410;קירק;28175;(2, 19, 20, 9, 28175);ויקרא;3;(2, 19, 20, 27, 106706);וירד יהוה על הר סיני אל ראש ההר ויקרא יהוה למשה אל ראש ההר ויעל משה
