(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(209335, 1, 4);[100, 10, 200, 100];410;קירק;55170;(4, 12, 14, 6, 55170);ירק;3;(4, 12, 14, 22, 209335);ויאמר יהוה אל משה ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים מחוץ למחנה ואחר תאסף
(26197, 6, 4);[100, 10, 200, 100];410;קירק;6993;(1, 21, 18, 1, 6993);קומי;1;(1, 21, 18, 1, 26197);קומי שאי את הנער והחזיקי את ידך בו כי לגוי גדול אשימנו
(303540, 8, 4);[100, 10, 200, 100];410;קירק;79643;(5, 33, 16, 10, 79643);ולקדקד;5;(5, 33, 16, 44, 303540);וממגד ארץ ומלאה ורצון שכני סנה תבואתה לראש יוסף ולקדקד נזיר אחיו
(35714, 11, 4);[100, 10, 200, 100];410;קירק;9496;(1, 26, 25, 4, 9496);ויקרא;3;(1, 26, 25, 13, 35714);ויבן שם מזבח ויקרא בשם יהוה ויט שם אהלו ויכרו שם עבדי יצחק באר
(60343, 17, 4);[100, 10, 200, 100];410;קירק;16028;(1, 41, 7, 3, 16028);הדקות;3;(1, 41, 7, 16, 60343);ותבלענה השבלים הדקות את שבע השבלים הבריאות והמלאות וייקץ פרעה והנה חלום
(81299, 17, 4);[100, 10, 200, 100];410;קירק;21450;(2, 3, 15, 17, 21450);יצחק;4;(2, 3, 15, 65, 81299);ויאמר עוד אלהים אל משה כה תאמר אל בני ישראל יהוה אלהי אבתיכם אלהי אברהם אלהי יצחק ואלהי יעקב שלחני אליכם זה שמי לעלם וזה זכרי לדר דר
(25375, 18, 4);[100, 10, 200, 100];410;קירק;6762;(1, 21, 1, 2, 6762);פקד;2;(1, 21, 1, 7, 25375);ויהוה פקד את שרה כאשר אמר ויעש יהוה לשרה כאשר דבר
(123366, 18, 4);[100, 10, 200, 100];410;קירק;32538;(2, 30, 7, 7, 32538);בבקר;3;(2, 30, 7, 29, 123366);והקטיר עליו אהרן קטרת סמים בבקר בבקר בהיטיבו את הנרת יקטירנה
(171803, 18, 4);[100, 10, 200, 100];410;קירק;45462;(3, 19, 36, 8, 45462);צדק;3;(3, 19, 36, 29, 171803);מאזני צדק אבני צדק איפת צדק והין צדק יהיה לכם אני יהוה אלהיכם אשר הוצאתי אתכם מארץ מצרים
(46934, 21, 4);[100, 10, 200, 100];410;קירק;12507;(1, 32, 10, 2, 12507);יעקב;3;(1, 32, 10, 8, 46934);ויאמר יעקב אלהי אבי אברהם ואלהי אבי יצחק יהוה האמר אלי שוב לארצך ולמולדתך ואיטיבה עמך
(215625, 21, 4);[100, 10, 200, 100];410;קירק;56836;(4, 16, 7, 6, 56836);קטרת;1;(4, 16, 7, 20, 215625);ותנו בהן אש ושימו עליהן קטרת לפני יהוה מחר והיה האיש אשר יבחר יהוה הוא הקדוש רב לכם בני לוי
(227710, 21, 4);[100, 10, 200, 100];410;קירק;60069;(4, 23, 3, 3, 60069);לבלק;4;(4, 23, 3, 13, 227710);ויאמר בלעם לבלק התיצב על עלתך ואלכה אולי יקרה יהוה לקראתי ודבר מה יראני והגדתי לך וילך שפי
(222154, 24, 4);[100, 10, 200, 100];410;קירק;58570;(4, 20, 6, 5, 58570);הקהל;2;(4, 20, 6, 18, 222154);ויבא משה ואהרן מפני הקהל אל פתח אהל מועד ויפלו על פניהם וירא כבוד יהוה אליהם
(298, 26, 4);[100, 10, 200, 100];410;קירק;78;(1, 1, 7, 15, 78);לרקיע;3;(1, 1, 7, 57, 298);ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(134103, 27, 4);[100, 10, 200, 100];410;קירק;35385;(2, 36, 25, 8, 35385);קרשים;1;(2, 36, 25, 32, 134103);ולצלע המשכן השנית לפאת צפון עשה עשרים קרשים
(142366, 30, 4);[100, 10, 200, 100];410;קירק;37532;(3, 1, 15, 1, 37532);והקריבו;3;(3, 1, 15, 3, 142366);והקריבו הכהן אל המזבח ומלק את ראשו והקטיר המזבחה ונמצה דמו על קיר המזבח
(148357, 31, 4);[100, 10, 200, 100];410;קירק;39142;(3, 6, 10, 9, 39142);קדשים;1;(3, 6, 10, 28, 148357);לא תאפה חמץ חלקם נתתי אתה מאשי קדש קדשים הוא כחטאת וכאשם
(73819, 34, 4);[100, 10, 200, 100];410;קירק;19505;(1, 47, 30, 7, 19505);בקברתם;2;(1, 47, 30, 34, 73819);ושכבתי עם אבתי ונשאתני ממצרים וקברתני בקברתם ויאמר אנכי אעשה כדברך
(229878, 36, 4);[100, 10, 200, 100];410;קירק;60656;(4, 24, 17, 16, 60656);וקרקר;4;(4, 24, 17, 64, 229878);אראנו ולא עתה אשורנו ולא קרוב דרך כוכב מיעקב וקם שבט מישראל ומחץ פאתי מואב וקרקר כל בני שת
(251025, 38, 4);[100, 10, 200, 100];410;קירק;65962;(5, 1, 19, 22, 65962);קדש;1;(5, 1, 19, 82, 251025);ונסע מחרב ונלך את כל המדבר הגדול והנורא ההוא אשר ראיתם דרך הר האמרי כאשר צוה יהוה אלהינו אתנו ונבא עד קדש ברנע
(177210, 42, 4);[100, 10, 200, 100];410;קירק;46917;(3, 23, 20, 13, 46917);קדש;1;(3, 23, 20, 47, 177210);והניף הכהן אתם על לחם הבכרים תנופה לפני יהוה על שני כבשים קדש יהיו ליהוה לכהן
(35148, 43, 4);[100, 10, 200, 100];410;קירק;9353;(1, 26, 14, 6, 9353);בקר;2;(1, 26, 14, 20, 35148);ויהי לו מקנה צאן ומקנה בקר ועבדה רבה ויקנאו אתו פלשתים
(7553, 47, 4);[100, 10, 200, 100];410;קירק;2021;(1, 6, 15, 15, 2021);קומתה;1;(1, 6, 15, 52, 7553);וזה אשר תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה
(17073, 51, 4);[100, 10, 200, 100];410;קירק;4572;(1, 14, 19, 7, 4572);קנה;1;(1, 14, 19, 29, 17073);ויברכהו ויאמר ברוך אברם לאל עליון קנה שמים וארץ
