(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(115038, -99, 4);[100, 200, 10, 100];410;קירק;30428;(2, 25, 36, 2, 30428);וקנתם;2;(2, 25, 36, 9, 115038);כפתריהם וקנתם ממנה יהיו כלה מקשה אחת זהב טהור
(35148, -96, 4);[100, 200, 10, 100];410;קירק;9353;(1, 26, 14, 6, 9353);בקר;2;(1, 26, 14, 20, 35148);ויהי לו מקנה צאן ומקנה בקר ועבדה רבה ויקנאו אתו פלשתים
(174894, -96, 4);[100, 200, 10, 100];410;קירק;46317;(3, 22, 6, 11, 46317);הקדשים;2;(3, 22, 6, 33, 174894);נפש אשר תגע בו וטמאה עד הערב ולא יאכל מן הקדשים כי אם רחץ בשרו במים
(196192, -95, 4);[100, 200, 10, 100];410;קירק;51729;(4, 5, 18, 18, 51729);קנאת;1;(4, 5, 18, 64, 196192);והעמיד הכהן את האשה לפני יהוה ופרע את ראש האשה ונתן על כפיה את מנחת הזכרון מנחת קנאת הוא וביד הכהן יהיו מי המרים המאררים
(178920, -87, 4);[100, 200, 10, 100];410;קירק;47344;(3, 24, 9, 5, 47344);במקום;3;(3, 24, 9, 25, 178920);והיתה לאהרן ולבניו ואכלהו במקום קדש כי קדש קדשים הוא לו מאשי יהוה חק עולם
(22430, -84, 4);[100, 200, 10, 100];410;קירק;5977;(1, 19, 4, 12, 5977);זקן;2;(1, 19, 4, 43, 22430);טרם ישכבו ואנשי העיר אנשי סדם נסבו על הבית מנער ועד זקן כל העם מקצה
(116384, -84, 4);[100, 200, 10, 100];410;קירק;30755;(2, 26, 23, 2, 30755);קרשים;1;(2, 26, 23, 5, 116384);ושני קרשים תעשה למקצעת המשכן בירכתים
(225941, -84, 4);[100, 200, 10, 100];410;קירק;59582;(4, 22, 13, 1, 59582);ויקם;3;(4, 22, 13, 3, 225941);ויקם בלעם בבקר ויאמר אל שרי בלק לכו אל ארצכם כי מאן יהוה לתתי להלך עמכם
(28064, -81, 4);[100, 200, 10, 100];410;קירק;7489;(1, 22, 18, 9, 7489);בקלי;2;(1, 22, 18, 34, 28064);והתברכו בזרעך כל גויי הארץ עקב אשר שמעת בקלי
(290531, -80, 4);[100, 200, 10, 100];410;קירק;76281;(5, 27, 4, 5, 76281);תקימו;2;(5, 27, 4, 19, 290531);והיה בעברכם את הירדן תקימו את האבנים האלה אשר אנכי מצוה אתכם היום בהר עיבל ושדת אותם בשיד
(54208, -78, 4);[100, 200, 10, 100];410;קירק;14440;(1, 37, 3, 9, 14440);זקנים;2;(1, 37, 3, 28, 54208);וישראל אהב את יוסף מכל בניו כי בן זקנים הוא לו ועשה לו כתנת פסים
(258400, -78, 4);[100, 200, 10, 100];410;קירק;67879;(5, 4, 32, 20, 67879);קצה;1;(5, 4, 32, 71, 258400);כי שאל נא לימים ראשנים אשר היו לפניך למן היום אשר ברא אלהים אדם על הארץ ולמקצה השמים ועד קצה השמים הנהיה כדבר הגדול הזה או הנשמע כמהו
(170527, -77, 4);[100, 200, 10, 100];410;קירק;45117;(3, 19, 8, 6, 45117);קדש;1;(3, 19, 8, 18, 170527);ואכליו עונו ישא כי את קדש יהוה חלל ונכרתה הנפש ההוא מעמיה
(195902, -76, 4);[100, 200, 10, 100];410;קירק;51652;(4, 5, 14, 14, 51652);קנאה;1;(4, 5, 14, 47, 195902);ועבר עליו רוח קנאה וקנא את אשתו והוא נטמאה או עבר עליו רוח קנאה וקנא את אשתו והיא לא נטמאה
(300938, -76, 4);[100, 200, 10, 100];410;קירק;78964;(5, 32, 11, 9, 78964);יקחהו;2;(5, 32, 11, 34, 300938);כנשר יעיר קנו על גוזליו ירחף יפרש כנפיו יקחהו ישאהו על אברתו
(87090, -73, 4);[100, 200, 10, 100];410;קירק;22961;(2, 7, 15, 17, 22961);תקח;2;(2, 7, 15, 61, 87090);לך אל פרעה בבקר הנה יצא המימה ונצבת לקראתו על שפת היאר והמטה אשר נהפך לנחש תקח בידך
(127314, -72, 4);[100, 200, 10, 100];410;קירק;33582;(2, 32, 27, 27, 33582);קרבו;1;(2, 32, 27, 96, 127314);ויאמר להם כה אמר יהוה אלהי ישראל שימו איש חרבו על ירכו עברו ושובו משער לשער במחנה והרגו איש את אחיו ואיש את רעהו ואיש את קרבו
(151721, -69, 4);[100, 200, 10, 100];410;קירק;40029;(3, 8, 18, 1, 40029);ויקרב;3;(3, 8, 18, 3, 151721);ויקרב את איל העלה ויסמכו אהרן ובניו את ידיהם על ראש האיל
(199744, -68, 4);[100, 200, 10, 100];410;קירק;52668;(4, 7, 31, 13, 52668);בשקל;3;(4, 7, 31, 50, 199744);קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
